Attribute	Data_Type	Constraint
SLNO	NUMBER(1)	AUTO INCREMENT
Match_ID	NUMBER(4)	PRIMARY KEY
Team1	VARCHAR(20)	
Team2	VARCHAR(20)	
Ground	VARCHAR(20)	
Play_Date	date	
Winner	VARCHAR(20)	
SLNO	NUMBER(3)	AUTO INCREMENT
Player_Id	NUMBER(5)	PRIMARY KEY
Lname	VARCHAR(20)	
Fname	VARCHAR(20)	
Country	VARCHAR(20)	
Yborn	NUMBER(4)	
Bplace	VARCHAR(20)	
Ftest	NUMBER(4)	
SLNO	NUMBER(4)	AUTO INCREMENT
Match_Id	NUMBER(4)	REFERENCES MATCH
Player_Id	NUMBER(5)	REFERENCES PLAYER
Novers	NUMBER(2)	
Maidens	NUMBER(1)	
Nrun_rcv	NUMBER(2)	
Nwickets	NUMBER(1)	
SLNO	NUMBER(3)	AUTO INCREMENT
Match_Id	NUMBER(4)	REFERENCES MATCH
Player_Id	NUMBER(5)	REFERENCES PLAYER
Nrun_sc	NUMBER(2)	
